symbol,yahoo_ticker,company_name,sector
EMIRATESNBD,EMIRATESNBD.AE,Emirates NBD Bank PJSC,بنوك
DEWA,DEWA.AE,Dubai Electricity and Water Authority,تصنيع
EMAAR,EMAAR.AE,Emaar Properties PJSC,عقاري
DIB,DIB.AE,Dubai Islamic Bank P.J.S.C.,بنوك
DU,DU.AE,Emirates Integrated Telecommunications Company PJSC,تكنولوجيا
EMAARDEV,EMAARDEV.AE,Emaar Development PJSC,عقاري
MASQ,MASQ.AE,Mashreqbank PSC,بنوك
SALIK,SALIK.AE,Salik Company P.J.S.C.,تصنيع
TALABAT,TALABAT.AE,Talabat Holding plc,تكنولوجيا
CBD,CBD.AE,Commercial Bank of Dubai PSC,بنوك
AIRARABIA,AIRARABIA.AE,Air Arabia PJSC,تصنيع
PARKIN,PARKIN.AE,Parkin Company P.J.S.C.,تصنيع
EMPOWER,EMPOWER.AE,Emirates Central Cooling Systems Corporation,تصنيع
TECOM,TECOM.AE,TECOM Group PJSC,عقاري
DUBAIRESI,DUBAIRESI.AE,Dubai Residential REIT,عقاري
DIC,DIC.AE,Dubai Investments PJSC,مالي غير مصرفي
DFM,DFM.AE,Dubai Financial Market P.J.S.C.,مالي غير مصرفي
GFH,GFH.AE,GFH Bank B.S.C.,بنوك
GULFNAV,GULFNAV.AE,Gulf Navigation Holding PJSC,تصنيع
ALEC,ALEC.AE,ALEC Holdings PJSC,تصنيع
TABREED,TABREED.AE,National Central Cooling Company PJSC,تصنيع
ALANSARI,ALANSARI.AE,Al Ansari Financial Services PJSC,مالي غير مصرفي
NIND,NIND.AE,National Industries Group Holding,تصنيع
SALAM_BAH,SALAM_BAH.AE,Al Salam Bank B.S.C.,بنوك
DTC,DTC.AE,Dubai Taxi Company P.J.S.C.,تصنيع
SPINNEYS,SPINNEYS.AE,Spinneys 1961 Holding plc,استهلاكي
MKHZN,MKHZN.AE,Makhazen,تصنيع
AJMANBANK,AJMANBANK.AE,Ajman Bank PJSC,بنوك
UNIONCOOP,UNIONCOOP.AE,Union Coop,استهلاكي
DEYAAR,DEYAAR.AE,Deyaar Development PJSC,عقاري
AMANAT,AMANAT.AE,Amanat Holdings PJSC,مالي غير مصرفي
UPP,UPP.AE,Union Properties Public Joint Stock Company,عقاري
TAALEEM,TAALEEM.AE,Taaleem Holdings PJSC,استهلاكي
IFA,IFA.AE,International Financial Advisors Holding,مالي غير مصرفي
ARMX,ARMX.AE,Aramex PJSC,تصنيع
DRC,DRC.AE,Dubai Refreshment (P.J.S.C.),استهلاكي
SUKOON,SUKOON.AE,Sukoon Insurance PJSC,مالي غير مصرفي
AMLAK,AMLAK.AE,Amlak Finance PJSC,مالي غير مصرفي
DIN,DIN.AE,Dubai Insurance Company (P.S.C.),مالي غير مصرفي
NCC,NCC.AE,National Cement Company,تصنيع
NGI,NGI.AE,National General Insurance Co. (P.J.S.C.),مالي غير مصرفي
ALRAMZ,ALRAMZ.AE,Al Ramz Corporation Investment and Development P.J.S.C.,مالي غير مصرفي
SHUAA,SHUAA.AE,SHUAA Capital PSC,مالي غير مصرفي
DSI,DSI.AE,Drake and Scull International P.J.S.C.,تصنيع
ERC,ERC.AE,Emirates Reem Investments Company P.J.S.C,مالي غير مصرفي
EIBANK,EIBANK.AE,Emirates Investment Bank P.J.S.C.,بنوك
SALAMA,SALAMA.AE,Islamic Arab Insurance Co. (Salama) PJSC,مالي غير مصرفي
BHMCAPITAL,BHMCAPITAL.AE,BHM Capital Financial Services PSC,مالي غير مصرفي
MAZAYA,MAZAYA.AE,Al-Mazaya Holding Company,عقاري
NIH,NIH.AE,National International Holding Company,مالي غير مصرفي
ITHMR,ITHMR.AE,Ithmaar Holding B.S.C.,مالي غير مصرفي
UFC,UFC.AE,United Foods Company (PSC),استهلاكي
DNIR,DNIR.AE,Dubai National Insurance & Reinsurance Co. (P.S.C.),مالي غير مصرفي
SUKOONTAKAFL,SUKOONTAKAFL.AE,Sukoon Takaful PJSC,مالي غير مصرفي
