symbol,yahoo_ticker,company_name,gics_sector,sector
MMM,MMM,3M,Industrials,تصنيع
AOS,AOS,A. O. Smith,Industrials,تصنيع
ABT,ABT,Abbott Laboratories,Health Care,استهلاكي
ABBV,ABBV,AbbVie,Health Care,استهلاكي
ACN,ACN,Accenture,Information Technology,تكنولوجيا
ADBE,ADBE,Adobe Inc.,Information Technology,تكنولوجيا
AMD,AMD,Advanced Micro Devices,Information Technology,تكنولوجيا
AES,AES,AES Corporation,Utilities,تصنيع
AFL,AFL,Aflac,Financials,مالي غير مصرفي
A,A,Agilent Technologies,Health Care,استهلاكي
APD,APD,Air Products,Materials,تصنيع
ABNB,ABNB,Airbnb,Consumer Discretionary,استهلاكي
AKAM,AKAM,Akamai Technologies,Information Technology,تكنولوجيا
ALB,ALB,Albemarle Corporation,Materials,تصنيع
ARE,ARE,Alexandria Real Estate Equities,Real Estate,عقاري
ALGN,ALGN,Align Technology,Health Care,استهلاكي
ALLE,ALLE,Allegion,Industrials,تصنيع
LNT,LNT,Alliant Energy,Utilities,تصنيع
ALL,ALL,Allstate,Financials,مالي غير مصرفي
GOOGL,GOOGL,Alphabet Inc. (Class A),Communication Services,تكنولوجيا
GOOG,GOOG,Alphabet Inc. (Class C),Communication Services,تكنولوجيا
MO,MO,Altria,Consumer Staples,استهلاكي
AMZN,AMZN,Amazon,Consumer Discretionary,استهلاكي
AMCR,AMCR,Amcor,Materials,تصنيع
AEE,AEE,Ameren,Utilities,تصنيع
AEP,AEP,American Electric Power,Utilities,تصنيع
AXP,AXP,American Express,Financials,مالي غير مصرفي
AIG,AIG,American International Group,Financials,مالي غير مصرفي
AMT,AMT,American Tower,Real Estate,عقاري
AWK,AWK,American Water Works,Utilities,تصنيع
AMP,AMP,Ameriprise Financial,Financials,بنوك
AME,AME,Ametek,Industrials,تصنيع
AMGN,AMGN,Amgen,Health Care,استهلاكي
APH,APH,Amphenol,Information Technology,تكنولوجيا
ADI,ADI,Analog Devices,Information Technology,تكنولوجيا
AON,AON,Aon plc,Financials,مالي غير مصرفي
APA,APA,APA Corporation,Energy,تصنيع
APO,APO,Apollo Global Management,Financials,بنوك
AAPL,AAPL,Apple Inc.,Information Technology,تكنولوجيا
AMAT,AMAT,Applied Materials,Information Technology,تكنولوجيا
APP,APP,AppLovin,Information Technology,تكنولوجيا
APTV,APTV,Aptiv,Consumer Discretionary,استهلاكي
ACGL,ACGL,Arch Capital Group,Financials,مالي غير مصرفي
ADM,ADM,Archer Daniels Midland,Consumer Staples,استهلاكي
ARES,ARES,Ares Management,Financials,بنوك
ANET,ANET,Arista Networks,Information Technology,تكنولوجيا
AJG,AJG,Arthur J. Gallagher & Co.,Financials,مالي غير مصرفي
AIZ,AIZ,Assurant,Financials,مالي غير مصرفي
T,T,AT&T,Communication Services,تكنولوجيا
ATO,ATO,Atmos Energy,Utilities,تصنيع
ADSK,ADSK,Autodesk,Information Technology,تكنولوجيا
ADP,ADP,Automatic Data Processing,Industrials,تصنيع
AZO,AZO,AutoZone,Consumer Discretionary,استهلاكي
AVB,AVB,AvalonBay Communities,Real Estate,عقاري
AVY,AVY,Avery Dennison,Materials,تصنيع
AXON,AXON,Axon Enterprise,Industrials,تصنيع
BKR,BKR,Baker Hughes,Energy,تصنيع
BALL,BALL,Ball Corporation,Materials,تصنيع
BAC,BAC,Bank of America,Financials,بنوك
BAX,BAX,Baxter International,Health Care,استهلاكي
